filename,source_type,original_source,width,height,description,hero_candidate
highlight_01.jpg,video_frame,VID-20260730-WA0026.mp4,1920,1082,"Landscape view of Sarangada from VID-20260730-WA0026.mp4",Yes
highlight_02.jpg,video_frame,VID-20260730-WA0017.mp4,1920,1082,"Landscape view of Sarangada from VID-20260730-WA0017.mp4",Yes
highlight_03.jpg,video_frame,VID-20260730-WA0015.mp4,1920,1082,"Landscape view of Sarangada from VID-20260730-WA0015.mp4",Yes
highlight_04.jpg,photo,IMG-20260730-WA0009.jpg,1920,886,"Landscape view of Sarangada from IMG-20260730-WA0009.jpg",No
highlight_05.jpg,video_frame,VID-20260730-WA0016.mp4,1920,1082,"Landscape view of Sarangada from VID-20260730-WA0016.mp4",No
highlight_06.jpg,photo,IMG-20260730-WA0010.jpg,1920,1080,"Landscape view of Sarangada from IMG-20260730-WA0010.jpg",No
highlight_07.jpg,photo,IMG-20260730-WA0037.jpg,1920,864,"Landscape view of Sarangada from IMG-20260730-WA0037.jpg",No
highlight_08.jpg,photo,IMG-20260730-WA0039.jpg,1920,842,"Landscape view of Sarangada from IMG-20260730-WA0039.jpg",No
highlight_09.jpg,photo,IMG-20260730-WA0011.jpg,1920,1080,"Landscape view of Sarangada from IMG-20260730-WA0011.jpg",No
highlight_10.jpg,video_frame,VID-20260730-WA0018.mp4,1080,1920,"Village life frame from VID-20260730-WA0018.mp4",No
highlight_11.jpg,photo,IMG-20260730-WA0012.jpg,1080,2386,"Village life frame from IMG-20260730-WA0012.jpg",No
highlight_12.jpg,video_frame,VID-20260730-WA0033.mp4,1080,1920,"Village life frame from VID-20260730-WA0033.mp4",No
highlight_13.jpg,video_frame,VID-20260730-WA0014.mp4,1080,1920,"Village life frame from VID-20260730-WA0014.mp4",No
highlight_14.jpg,video_frame,VID-20260730-WA0021.mp4,1080,1920,"Village life frame from VID-20260730-WA0021.mp4",No
